id;nome;cidade;endereco;longitude;latitude
1;magenta Concrete;User-centric Gloves;Mauritania;70301;40383
2;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661;50267
3;Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;24205;59269
4;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;15071;32078
5;magenta Refined Rubber Gloves;red firewall open-source;deposit Sausages;69093;39757
6;Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;55520
7;Equatorial Guinea Vision-oriented;Agent;Human deposit;33902;27887
8;Saint Helena Pound programming;AI optical invoice;Marketing;78534;89855
9;Home Loan Account Tools Unbranded;Supervisor clear-thinking;Latvia;69189;44842
10;Manager Fish;Networked;Fish;36646;64963
